window,pairwise_per_query,simplicial_per_query_ordered,simplicial_vs_pairwise_ratio,total_pairwise_interactions_per_layer,total_simplicial_interactions_per_layer,log10_total_simplicial
8,8,64,8.0,16384,131072,5.11750992628768
16,16,256,16.0,32768,524288,5.719569917615643
32,32,1024,32.0,65536,2097152,6.321629908943605
64,64,4096,64.0,131072,8388608,6.923689900271567
128,128,16384,128.0,262144,33554432,7.52574989159953
256,256,65536,256.0,524288,134217728,8.127809882927492
512,512,262144,512.0,1048576,536870912,8.729869874255455
1024,1024,1048576,1024.0,2097152,2147483648,9.331929865583417
2048,2048,4194304,2048.0,4194304,8589934592,9.93398985691138
